		 OpenProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 20-Jan-2022

Propeller Diameter 	 = 0.0720 m
Number of Blades   	 = 2
Propeller Speed 	 = 12000 RPM
Propeller Hub Diameter 	 = 0.0360 m
Meanline  Type: flat
Thickness Type: NACA 001612
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.5000  0.2000  0.0902  0.0000  0.2193   7.9494  0.0000  0.0000
0.5392  0.2000  0.0813  0.0000  0.2176   7.3194  0.0000  0.0000
0.5782  0.2000  0.0734  0.0000  0.2189   6.8726  0.0000  0.0000
0.6167  0.1999  0.0665  0.0000  0.2199   6.4757  0.0000  0.0000
0.6545  0.1998  0.0606  0.0000  0.2207   6.1273  0.0000  0.0000
0.6913  0.1999  0.0553  0.0000  0.2215   5.8243  0.0000  0.0000
0.7270  0.2004  0.0504  0.0000  0.2224   5.5615  0.0000  0.0000
0.7612  0.2006  0.0461  0.0000  0.2233   5.3334  0.0000  0.0000
0.7939  0.2002  0.0425  0.0000  0.2241   5.1355  0.0000  0.0000
0.8247  0.1989  0.0395  0.0000  0.2250   4.9637  0.0000  0.0000
0.8536  0.1978  0.0367  0.0000  0.2259   4.8153  0.0000  0.0000
0.8802  0.1980  0.0344  0.0000  0.2268   4.6880  0.0000  0.0000
0.9045  0.2007  0.0330  0.0000  0.2276   4.5798  0.0000  0.0000
0.9263  0.2039  0.0322  0.0000  0.2285   4.4893  0.0000  0.0000
0.9455  0.2020  0.0322  0.0000  0.2293   4.4146  0.0000  0.0000
0.9619  0.1893  0.0313  0.0000  0.2300   4.3525  0.0000  0.0000
0.9755  0.1632  0.0265  0.0000  0.2302   4.2964  0.0000  0.0000
0.9862  0.1276  0.0203  0.0000  0.2302   4.2499  0.0000  0.0000
0.9938  0.0867  0.0136  0.0000  0.2301   4.2153  0.0000  0.0000
0.9985  0.0434  0.0068  0.0000  0.2300   4.1940  0.0000  0.0000
1.0000  0.0010  0.0000  0.0000  0.2300   4.1868  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
