		 OpenProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 17-Jan-2022

Propeller Diameter 	 = 3.0480 m
Number of Blades   	 = 5
Propeller Speed 	 = 150 RPM
Propeller Hub Diameter 	 = 0.6096 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2000  0.1600  0.2056  0.0291  0.7924  51.5877  0.0000  0.0000
0.2628  0.1737  0.1721  0.0263  0.8033  44.2205  0.0000  0.0000
0.3251  0.1872  0.1447  0.0244  0.8113  38.4581  0.0000  0.0000
0.3868  0.1998  0.1224  0.0225  0.8157  33.8765  0.0000  0.0000
0.4472  0.2111  0.1039  0.0207  0.8188  30.2321  0.0000  0.0000
0.5061  0.2205  0.0887  0.0190  0.8210  27.3068  0.0000  0.0000
0.5632  0.2275  0.0763  0.0175  0.8226  24.9346  0.0000  0.0000
0.6180  0.2314  0.0663  0.0163  0.8239  22.9942  0.0000  0.0000
0.6702  0.2321  0.0583  0.0153  0.8249  21.3948  0.0000  0.0000
0.7196  0.2299  0.0515  0.0146  0.8258  20.0680  0.0000  0.0000
0.7657  0.2244  0.0457  0.0139  0.8266  18.9634  0.0000  0.0000
0.8083  0.2151  0.0411  0.0135  0.8272  18.0427  0.0000  0.0000
0.8472  0.2030  0.0375  0.0131  0.8277  17.2747  0.0000  0.0000
0.8821  0.1891  0.0346  0.0126  0.8280  16.6345  0.0000  0.0000
0.9128  0.1734  0.0326  0.0121  0.8279  16.1039  0.0000  0.0000
0.9391  0.1519  0.0324  0.0119  0.8281  15.6788  0.0000  0.0000
0.9608  0.1227  0.0316  0.0121  0.8286  15.3499  0.0000  0.0000
0.9779  0.0909  0.0268  0.0125  0.8293  15.1066  0.0000  0.0000
0.9902  0.0593  0.0193  0.0129  0.8300  14.9406  0.0000  0.0000
0.9975  0.0289  0.0102  0.0132  0.8306  14.8444  0.0000  0.0000
1.0000  0.0010  0.0000  0.0133  0.8308  14.8130  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
