		 C4-28x72-5000Thick_Geometry.txt 

		 Propeller Geometry Table

Date and time: 20-Apr-2022

Propeller Diameter 	 = 0.0720 m
Number of Blades   	 = 2
Propeller Speed 	 = 5000 RPM
Propeller Hub Diameter 	 = 0.0360 m
Meanline  Type: flat
Thickness Type: NACA 001612
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.5000  0.2800  0.1429  0.0000  0.5800  20.2655  0.0000  0.0000
0.5392  0.2800  0.1429  0.0000  0.5561  18.1736  0.0000  0.0000
0.5782  0.2800  0.1429  0.0000  0.5588  17.0992  0.0000  0.0000
0.6167  0.2800  0.1428  0.0000  0.5629  16.1990  0.0000  0.0000
0.6545  0.2801  0.1428  0.0000  0.5666  15.4051  0.0000  0.0000
0.6913  0.2800  0.1428  0.0000  0.5700  14.7047  0.0000  0.0000
0.7270  0.2799  0.1429  0.0000  0.5733  14.0911  0.0000  0.0000
0.7612  0.2798  0.1430  0.0000  0.5767  13.5580  0.0000  0.0000
0.7939  0.2799  0.1429  0.0000  0.5803  13.0978  0.0000  0.0000
0.8247  0.2804  0.1427  0.0000  0.5840  12.7020  0.0000  0.0000
0.8536  0.2808  0.1425  0.0000  0.5877  12.3617  0.0000  0.0000
0.8802  0.2807  0.1425  0.0000  0.5912  12.0679  0.0000  0.0000
0.9045  0.2797  0.1423  0.0000  0.5943  11.8124  0.0000  0.0000
0.9263  0.2756  0.1247  0.0000  0.5968  11.5888  0.0000  0.0000
0.9455  0.2645  0.1011  0.0000  0.5985  11.3923  0.0000  0.0000
0.9619  0.2422  0.0830  0.0000  0.5990  11.2121  0.0000  0.0000
0.9755  0.2066  0.0660  0.0000  0.5964  11.0115  0.0000  0.0000
0.9862  0.1610  0.0496  0.0000  0.5923  10.8222  0.0000  0.0000
0.9938  0.1093  0.0332  0.0000  0.5884  10.6728  0.0000  0.0000
0.9985  0.0548  0.0168  0.0000  0.5858  10.5787  0.0000  0.0000
1.0000  0.0010  0.0000  0.0000  0.5849  10.5466  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
